variable_name,label
glucose_60,Blood Glucose (60 min)
glucose_65,Blood Glucose (65 min)
glucose_70,Blood Glucose (70 min)
glucose_75,Blood Glucose (75 min)
glucose_80,Blood Glucose (80 min)
glucose_85,Blood Glucose (85 min)
glucose_90,Blood Glucose (90 min)
glucose_95,Blood Glucose (95 min)
glucose_100,Blood Glucose (100 min)
glucose_105,Blood Glucose (105 min)
glucose_110,Blood Glucose (110 min)
glucose_115,Blood Glucose (115 min)
glucose_120,Blood Glucose (120 min)
glucose_125,Blood Glucose (125 min)
glucose_130,Blood Glucose (130 min)
glucose_135,Blood Glucose (135 min)
glucose_140,Blood Glucose (140 min)
glucose_145,Blood Glucose (145 min)
glucose_150,Blood Glucose (150 min)
glucose_155,Blood Glucose (155 min)
glucose_160,Blood Glucose (160 min)
glucose_165,Blood Glucose (165 min)
glucose_170,Blood Glucose (170 min)
glucose_175,Blood Glucose (175 min)
glucose_180,Blood Glucose (180 min)
glucose_185,Blood Glucose (185 min)
glucose_190,Blood Glucose (190 min)
glucose_195,Blood Glucose (195 min)
glucose_200,Blood Glucose (200 min)
glucose_205,Blood Glucose (205 min)
glucose_210,Blood Glucose (210 min)
glucose_215,Blood Glucose (215 min)
glucose_220,Blood Glucose (220 min)
glucose_225,Blood Glucose (225 min)
glucose_230,Blood Glucose (230 min)
glucose_235,Blood Glucose (235 min)
glucose_240,Blood Glucose (240 min)
glucose_245,Blood Glucose (245 min)
glucose_249,Blood Glucose (249 min)
glucose_250,Blood Glucose (250 min)
glucose_255,Blood Glucose (255 min)
glucose_260,Blood Glucose (260 min)
glucose_265,Blood Glucose (265 min)
glucose_270,Blood Glucose (270 min)
glucose_285,Blood Glucose (285 min)
glucose_300,Blood Glucose (300 min)
glucose_arg2,Blood Glucose [ARG 2]
glucose_arg3,Blood Glucose [ARG 3]
glucose_arg4,Blood Glucose [ARG 4]
glucose_arg5,Blood Glucose [ARG 5]
glucose_auc,Blood glucose AUC
glucose_bl,Blood Glucose (Baseline)
glucose_bl_cmp,Blood Glucose from CMP (Baseline)
glucose_minus_5,Blood Glucose (T=-5 Before Clamp)
glucose_minus_10,Blood Glucose (T=-10 Before Clamp)
glucose_minus_20,Blood Glucose (T=-20 Before Clamp)
glucose_minus_30,Blood Glucose (T=-30 Before Clamp)
glucose_minus_90,Blood Glucose (T=-90 Before Clamp)
glucose_minus_120,Blood Glucose (T=-120 Before Clamp)
glucuronic_acid_tissue,Glucuronic acid
glut_id,Glutaraldehyde Cryovial ID
glutamate,Glutamate
glutamine,Glutamine
gm3_d34_1_h,GM3(d34:1)+H
gm3_d36_1_h,GM3(d36:1)+H
gm3_m34_0_2h,GM3(m34:0)-2H
gm3_t34_0_h_h2o,GM3(t34:0)+H-H2O
got_ast,AST
gotast_base,Baseline Aspartate Aminotransferase (U/L)
gpt_alt,ALT
gptalt_base,Baseline Alanine Aminotransferase (U/L)
group_risk,Risk of diabetes
grs,Global Radial Strain
hand,Are you right or left handed
hba1c,HbA1C (%)
hct,Hematocrit
hdl,HDL (mg/dL)
hdl_base,Baseline HDL (mg/dL)
height,Height (cm)
hematocrit,Hematocrit
hematocrit_90,Hematocrit (90 min)
hematocrit_120,Hematocrit (120 min)
hematocrit_210,Hematocrit (210 min)
hematocrit_avg,Average Hematocrit
hematocrit_minus_5,Hematocrit (T=-5 Before Clamp)
hematocrit_minus_10,Hematocrit (T=-10 Before Clamp)
hemoglobin,Hemoglobin (g/dL)
hepatic_ff,Hepatic Fat Fraction (%)
hex1cer_d18_1_16_0_o_h,Hex1Cer(d18:1_16:0+O)+H
hex1cer_d40_1_ch3coo,Hex1Cer(d40:1)+CH3COO
hex1cer_d42_1_ch3coo,Hex1Cer(d42:1)+CH3COO
hex1cer_t18_0_16_0_o_h_h2o,Hex1Cer(t18:0_16:0+O)+H-H2O
hex1cer_t42_0_h_2h2o,Hex1Cer(t42:0)+H-2H2O
hex2cer_d18_1_16_0,Hex2Cer(d18:1_16:0)
hex2cer_d18_1_24_1,Hex2Cer(d18:1_24:1)
hex2cer_d18_1_24_1_h,Hex2Cer(d18:1_24:1)+H
hex2cer_d42_1_o_h_h2o,Hex2Cer(d42:1+O)+H-H2O
hex2cer_t18_0_24_1_h_h2o,Hex2Cer(t18:0_24:1)+H-H2O
hex3cer_d18_1_16_0,Hex3Cer(d18:1_16:0)
hipcm,Hip Circumference (cm)
histidine,Histidine
histidine_tissue,Histidine
hmdb00756,hexanoyl-L-carnitine (acyl-C6)
hmdb00848,Octadecanoyl-L-carnitine (acyl-C18)
hmdb01064,acyl-C18:2 (Linoleoyl-CoA)
hmdb02250,O-dodecanoyl-carnitine (acyl-C12)
hmdb02366,acyl-C5:1 (Tiglylcarnitine)
hmdb05066,O-tetradecanoyl-L-carnitine (acyl-C14)
hmdb06317,Hexadecenoyl-carnitine (acyl-C16:1)
hmdb06351,O-octadecenoyl-L-carnitine (acyl-C18:1)
hmdb13127,acyl-C4-OH (Hydroxybutyrylcarnitine)
hmdb13133,acyl-C4-DC
hmdb13326,O-dodecenoyl-carnitine (acyl-C12:1)
hmdb13329,Tetradecenoyl Carnitine (acyl-C14:1)
homa_ir,HOMA-IR
ht_adj_tkv,Height Adjusted Total Kidney Volume (mL/m)
ht_adj_tkv_manual,Height-Adjusted TKV (manual)
htn_med_type___1,Hypertension Medical Type (choice 1)
htn_med_type___2,Hypertension Medical Type (choice 2)
htn_med_type___6,Hypertension Medical Type (choice 6)
hx_anemia,Does patient have history of anemia
hx_cv,Does patient have a history of cardiovascular disease
hx_cv_meds,Is patient taking medications for cardiovascular disease
hx_cv_other,"If other, what history of cardiovascular disease"
hx_cv_positive___1,History Cardiovascular Positive (choice 1)
hx_cv_positive___2,History Cardiovascular Positive (choice 2)
hx_cv_positive___3,History Cardiovascular Positive (choice 3)
hx_cv_positive___4,History Cardiovascular Positive (choice 4)
hx_htn,Does patient have a history of hypertension
hx_htn_control,"If yes, is hypertension controlled"
hx_met,Does patient have a history of metabolic disease
hx_met_medlist,"If yes, what medications"
hx_met_meds,Is patient taking medications for metabolic disease
hx_met_positive___1,History Met Positive (choice 1)
hx_met_positive___2,History Met Positive (choice 2)
hx_met_positive___3,History Met Positive (choice 3)
hx_met_positive___4,History Met Positive (choice 4)
hx_met_positive___5,History Met Positive (choice 5)
hyperlipidemia,Hyperlipidemia
hypertension,History of Hypertension
hypertension_meds,Is patient taking anti-hypertensive medications
hypo_time,Time: Core placed in Hypothermosol cryovial
ifta,IFTA (%)
igf1_z_score,IGF-1 Z-score
igf_1,IGF-1
igf_free,Free IGF
immgran,Imm Granulocyte %:
infusion_dex,Dextran infusion volume? (mL)
infusion_ioh,Iohexol infusion volume? (mL)
infusion_pah,PAH infusion volume? (mL)
inj_nor,"If YES, are the injection sites normal"
inosinic_acid_tissue,Inosinic acid
inr,INR
ins_clear,Insulin Clearance
insulin,Insulin
insulin_0,Insulin (0 min)
insulin_2,Insulin (2 min)
insulin_3,Insulin (3 min)
insulin_4,Insulin (4 min)
insulin_5,Insulin (5 min)
insulin_6,Insulin (6 min)
insulin_8,Insulin (8 min)
insulin_10,Insulin (10 min)
insulin_12,Insulin (12 min)
insulin_14,Insulin (14 min)
insulin_16,Insulin (16 min)
insulin_19,Insulin (19 min)
insulin_20,Insulin (20 min)
insulin_22,Insulin (22 min)
insulin_23,Insulin (23 min)
insulin_24,Insulin (24 min)
insulin_25,Insulin (25 min)
insulin_27,Insulin (27 min)
insulin_30,Insulin (30 min)
insulin_35,Insulin (35 min)
insulin_40,Insulin (40 min)
insulin_45,Insulin (45 min)
insulin_50,Insulin (50 min)
insulin_60,Insulin (60 min)
insulin_70,Insulin (70 min)
insulin_80,Insulin (80 min)
insulin_90,Insulin (90 min)
insulin_100,Insulin (100 min)
insulin_120,Insulin (120 min)
insulin_140,Insulin (140 min)
insulin_150,Insulin (150 min)
insulin_160,Insulin (160 min)
insulin_180,Insulin (180 min)
insulin_210,Insulin (210 min)
insulin_220,Insulin (220 min)
insulin_230,Insulin (230 min)
insulin_240,Insulin (240 min)
insulin_245,Insulin (245 min)
insulin_249,Insulin (249 min)
insulin_250,Insulin (250 min)
insulin_252,Insulin (252 min)
insulin_253,Insulin (253 min)
insulin_254,Insulin (254 min)
insulin_255,Insulin (255 min)
insulin_260,Insulin (260 min)
insulin_270,Insulin (270 min)
insulin_amt,Insulin Amount
insulin_auc,Insulin AUC
insulin_inj,Is the subject using insulin or other injections
insulin_injections_timepoint,Insulin injection at visit
insulin_med_timepoint,Insulin med at visit
insulin_minus_5,Insulin (T=-5 Before Clamp)
insulin_minus_10,Insulin (T=-10 Before Clamp)
insulin_minus_15,Insulin (-15 min)
insulin_minus_20,Insulin (T=-20 Before Clamp)
insulin_pump_timepoint,Insulin pump at visit
insulin_sensitivity_method,Method of insulin sensitivity collection
insulin_tdd,Average TDD
insulin_timepoint,Insulin Timepoint
insulin_units,Insulin Units
ioh_bol_com,Iohexol bolus completion time
iohexol_10,+10 Iohexol (mg/dl)
iohexol_30,+30 Iohexol (mg/dl)
iohexol_120,Iohexol (120 min)
iohexol_150,Iohexol (150 min)
iohexol_180,Iohexol (180 min)
iohexol_210,Iohexol (210 min)
iohexol_240,Iohexol (240 min)
iohexol_bolus,Iohexol Bolus Given
iohexol_ecv_gfr,GFR/ECV (%)
iohexol_infusion_vol,Iohexol Infusion Volume
iohexol_minus_10,Iohexol (-10 min)
iohexol_time,Iohexol Tme
iohexol_urine_150,Iohexol (T= +150) (urine concentration)
iohexol_urine_180,Iohexol (T= +180) (urine concentration)
iohexol_vol,Iohexol Volume
iohexol_yn,Iohexol given
ischemic_n,Ischemic Glomeruli (n)
isocitric_citric_acid_tissue,Isocitric/citric acid
jwire_com,Notes (if any):
jwire_num,Number of J-wires used:
jwire_side,What side was used
jwire_time,Time:
k_base,Baseline K/Potassium (nmol/L)
kcal,Average Kcals/Day
kcal_tot,Total Activity Kcals
kfg,"Kfg for group (T1D/T2D kfg: 0.1012, Control kfg: 0.1733)"
kidney_location,Location of Kidney Biopsy
kidney_side,Kidney Side
kidneybx_1,Date of kidney biopsy 1 or visit
kidneybx_2,Date of kidney biopsy 2 or visit
kim_yn,Kidney Injury Markers -- Labs complete
kit_id,Liver Biopsy Kit Number (Format: KL-9999999)
late_insulin_clearance,Late Phase (60-240 min) Insulin Clearance
lc_f,Left Cortex Perfusion [F] (***)
lc_k1,Left Cortex Tracer Uptake Rate [K1] (ml/g/min)
lc_k1_w_cyst_percent_avg,Left cortex k1 w cyst avg
lc_k1_w_cyst_percent_high,Left cortex k1 w cyst high
lc_k1_w_cyst_percent_low,Left cortex k1 w cyst low
lc_k1_w_cyst_vw,Left cortex k1 w cyst
lc_k1_wo_cyst_percent_avg,Left cortex k1 wo cyst avg
lc_k1_wo_cyst_percent_high,Left cortex k1 wo cyst high
lc_k1_wo_cyst_percent_low,Left cortex k1 wo cyst low
lc_k1_wo_cyst_vw,Left cortex k1 wo cyst
lc_k2,Left Cortex Oxidation Rate [k2] (1/min)
lc_k2_w_cyst_percent_avg,Left cortex k2 w cyst avg
lc_k2_w_cyst_percent_high,Left cortex k2 w cyst high
lc_k2_w_cyst_percent_low,Left cortex k2 w cyst low
lc_k2_w_cyst_vw,Left cortex k2 w cyst
lc_k2_wo_cyst_percent_avg,Left cortex k2 wo cyst avg
lc_k2_wo_cyst_percent_high,Left cortex k2 wo cyst high
lc_k2_wo_cyst_percent_low,Left cortex k2 wo cyst low
lc_k2_wo_cyst_vw,Left cortex k2 wo cyst
lc_vb,Left Cortex Blood Volume Fraction [vB] (%)
ldl,LDL (mg/dL)
ldl_base,Baseline LDL (mg/dL)
left_cortex_blood_flow_mean,Left Cortex Blood Flow Mean
left_cortex_blood_flow_sd,Left Cortex Blood Flow SD
left_cortex_ox_metab_mean,Left Cortex Oxidative Metabolism Mean
left_cortex_ox_metab_sd,Left Cortex Oxidative Metabolism SD
left_kidney_volume_ml,Left Kidney Volume (mL)
left_medulla_blood_flow_mean,Left Medulla Blood Flow Mean
left_medulla_blood_flow_sd,Left Medulla Blood Flow SD
left_medulla_ox_metab_mean,Left Medulla Oxidative Metabolism Mean
left_medulla_ox_metab_sd,Left Medulla Oxidative Metabolism SD
length_left,Left Kidney Length (cm)
length_right,Right Kidney Length (cm)
leptin_base,Leptin (baseline)
leucine_isoleucine,Leucine+isoleucine
leucyl_tryptophan_cl_tissue,Leucyl-Tryptophan +Cl
lh,LH (mIU/mL)
linoleic_acid_tissue,Linoleic acid
liver_k1,Liver K1
liver_k2,Liver k2
liver_k3,Liver k3
liver_vb,Liver Blood Volume
lm_f,Left Medulla Perfusion [F] (***)
lm_k1,Left Medulla Tracer Uptake Rate [K1] (ml/g/min)
lm_k1_wo_cyst_percent_avg,Left medulla k1 wo cyst avg
lm_k1_wo_cyst_percent_high,Left medulla k1 wo cyst high
lm_k1_wo_cyst_percent_low,Left medulla k1 wo cyst low
lm_k1_wo_cyst_vw,Left medulla k1 wo cyst
lm_k2,Left Medulla Oxidation Rate [k2]
lm_k2_wo_cyst_percent_avg,Left medulla k2 wo cyst avg
lm_k2_wo_cyst_percent_high,Left medulla k2 wo cyst high
lm_k2_wo_cyst_percent_low,Left medulla k2 wo cyst low
lm_k2_wo_cyst_vw,Left medulla k2 wo cyst
lm_vb,Left Medulla Blood Volume Fraction [vB] (%)
ln2_id,(RED) LN2 Cryovial ID (S-9999-999999)
long_1,Phase 1 temporal longitudinal strain
long_2,Phase 2 temporal longitudinal strain
long_3,Phase 3 temporal longitudinal strain
long_4,Phase 4 temporal longitudinal strain
long_5,Phase 5 temporal longitudinal strain
long_6,Phase 6 temporal longitudinal strain
long_7,Phase 7 temporal longitudinal strain
long_8,Phase 8 temporal longitudinal strain
long_9,Phase 9 temporal longitudinal strain
long_10,Phase 10 temporal longitudinal strain
long_11,Phase 11 temporal longitudinal strain
long_12,Phase 12 temporal longitudinal strain
long_13,Phase 13 temporal longitudinal strain
long_14,Phase 14 temporal longitudinal strain
long_15,Phase 15 temporal longitudinal strain
long_16,Phase 16 temporal longitudinal strain
long_17,Phase 17 temporal longitudinal strain
long_18,Phase 18 temporal longitudinal strain
long_19,Phase 19 temporal longitudinal strain
long_20,Phase 20 temporal longitudinal strain
long_21,Phase 21 temporal longitudinal strain
long_22,Phase 22 temporal longitudinal strain
long_23,Phase 23 temporal longitudinal strain
long_24,Phase 24 temporal longitudinal strain
long_25,Phase 25 temporal longitudinal strain
long_26,Phase 26 temporal longitudinal strain
long_27,Phase 27 temporal longitudinal strain
long_28,Phase 28 temporal longitudinal strain
long_29,Phase 29 temporal longitudinal strain
long_30,Phase 30 temporal longitudinal strain
long_insulin_dose,Last dose of long-acting insulin (units)
long_insulin_time,Last dose time of long-acting insulin
lpa_9_0_2h,LPA(9:0)-2H
lpc_14_0,LPC(14:0)
lpc_14_0_ch3coo,LPC(14:0)+CH3COO
lpc_14_0_h,LPC(14:0)+H
lpc_15_0,LPC(15:0)
lpc_15_0_ch3coo,LPC(15:0)+CH3COO
lpc_15_0_h,LPC(15:0)+H
lpc_15_1,LPC(15:1)
lpc_16_0,LPC(16:0)
lpc_16_0_ch3,LPC(16:0)-CH3
lpc_16_0_ch3coo,LPC(16:0)+CH3COO
lpc_16_0_h,LPC(16:0)+H
lpc_16_0_h_1,LPC(16:0)+H
lpc_16_0_na,LPC(16:0)+Na
lpc_16_0e_h,LPC(16:0e)+H
lpc_16_1,LPC(16:1)
lpc_16_1_ch3coo,LPC(16:1)+CH3COO
lpc_16_1_h,LPC(16:1)+H
lpc_16_1e_h,LPC(16:1e)+H
lpc_17_0,LPC(17:0)
lpc_17_0_ch3coo,LPC(17:0)+CH3COO
lpc_17_0_ch3coo_1,LPC(17:0)+CH3COO
lpc_17_0_h,LPC(17:0)+H
lpc_17_0_na,LPC(17:0)+Na
lpc_17_1_h,LPC(17:1)+H
lpc_18_0,LPC(18:0)
lpc_18_0_ch3,LPC(18:0)-CH3
lpc_18_0_ch3coo,LPC(18:0)+CH3COO
lpc_18_0_h,LPC(18:0)+H
lpc_18_0_k,LPC(18:0)+K
lpc_18_0_na,LPC(18:0)+Na
lpc_18_0e_h,LPC(18:0e)+H
lpc_18_1,LPC(18:1)
lpc_18_1_ch3,LPC(18:1)-CH3
lpc_18_1_ch3_1,LPC(18:1)-CH3
lpc_18_1_ch3coo,LPC(18:1)+CH3COO
lpc_18_1_ch3coo_1,LPC(18:1)+CH3COO
lpc_18_1_h,LPC(18:1)+H
lpc_18_1_na,LPC(18:1)+Na
lpc_18_1e_h,LPC(18:1e)+H
lpc_18_1e_h_1,LPC(18:1e)+H
lpc_18_2,LPC(18:2)
lpc_18_2_ch3,LPC(18:2)-CH3
lpc_18_2_ch3coo,LPC(18:2)+CH3COO
lpc_18_2_h,LPC(18:2)+H
lpc_18_2_na,LPC(18:2)+Na
lpc_18_2e_h,LPC(18:2e)+H
lpc_18_3,LPC(18:3)
lpc_18_3_h,LPC(18:3)+H
lpc_18_4_h,LPC(18:4)+H
lpc_19_0,LPC(19:0)
lpc_19_0_h,LPC(19:0)+H
lpc_19_1,LPC(19:1)
lpc_19_1_h,LPC(19:1)+H
lpc_19_2,LPC(19:2)
lpc_20_0_h,LPC(20:0)+H
lpc_20_0e_h,LPC(20:0e)+H
lpc_20_1,LPC(20:1)
lpc_20_1_na,LPC(20:1)+Na
lpc_20_2,LPC(20:2)
lpc_20_3,LPC(20:3)
lpc_20_3_ch3coo,LPC(20:3)+CH3COO
lpc_20_3_ch3coo_1,LPC(20:3)+CH3COO
lpc_20_3_h,LPC(20:3)+H
lpc_20_3_h_1,LPC(20:3)+H
lpc_20_3_h_2,LPC(20:3)+H
lpc_20_4,LPC(20:4)
lpc_20_4_ch3coo,LPC(20:4)+CH3COO
lpc_20_4_h,LPC(20:4)+H
lpc_20_4_h_1,LPC(20:4)+H
lpc_20_4_na,LPC(20:4)+Na
lpc_20_5,LPC(20:5)
lpc_20_5_ch3coo,LPC(20:5)+CH3COO
lpc_20_5_h,LPC(20:5)+H
lpc_21_3,LPC(21:3)
lpc_21_4,LPC(21:4)
lpc_22_0_h,LPC(22:0)+H
lpc_22_4_h,LPC(22:4)+H
lpc_22_5,LPC(22:5)
lpc_22_5_h,LPC(22:5)+H
lpc_22_5_h_1,LPC(22:5)+H
lpc_22_6,LPC(22:6)
lpc_22_6_ch3coo,LPC(22:6)+CH3COO
lpc_22_6_h,LPC(22:6)+H
lpc_24_0_h,LPC(24:0)+H
lpc_30_0,LPC(30:0)
lpc_o_16_0,LPC(O-16:0)
lpc_o_18_0,LPC(O-18:0)
lpc_p_16_0,LPC(P-16:0)
lpc_p_18_0,LPC(P-18:0)
lpe_16_0,LPE(16:0)
lpe_16_0_h,LPE(16:0)+H
lpe_16_0_h_1,LPE(16:0)-H
lpe_18_0,LPE(18:0)
lpe_18_0_h,LPE(18:0)-H
lpe_18_0_na,LPE(18:0)+Na
lpe_18_1,LPE(18:1)
lpe_18_1_h,LPE(18:1)+H
lpe_18_1_h_1,LPE(18:1)-H
lpe_18_1_na,LPE(18:1)+Na
lpe_18_1_na_1,LPE(18:1)+Na
lpe_18_2,LPE(18:2)
lpe_18_2_h,LPE(18:2)-H
lpe_18_2_h_1,LPE(18:2)+H
lpe_20_3_h,LPE(20:3)+H
lpe_20_4,LPE(20:4)
lpe_20_4_h,LPE(20:4)-H
lpe_20_4_h_1,LPE(20:4)+H
lpe_22_6_h,LPE(22:6)-H
lpi_20_4_h,LPI(20:4)-H
lpi_p_27_8,LPI(P-27:8)
lps_22_0,LPS(22:0)
ltot_k1_w_cyst,Left total k1 w cyst
ltot_k1_w_cyst_percent_avg,Left total k1 w cyst avg
ltot_k1_w_cyst_percent_high,Left total k1 w cyst high
ltot_k1_w_cyst_percent_low,Left total k1 w cyst low
ltot_k1_wo_cyst,Left total k1 wo cyst
ltot_k1_wo_cyst_percent_avg,Left total k1 wo cyst avg
ltot_k1_wo_cyst_percent_high,Left total k1 wo cyst high
ltot_k1_wo_cyst_percent_low,Left total k1 wo cyst low
ltot_k2_w_cyst,Left total k2 w cyst
ltot_k2_w_cyst_percent_avg,Left total k2 w cyst avg
ltot_k2_w_cyst_percent_high,Left total k2 w cyst high
ltot_k2_w_cyst_percent_low,Left total k2 w cyst low
ltot_k2_wo_cyst,Left total k2 wo cyst
ltot_k2_wo_cyst_percent_avg,Left total k2 wo cyst avg
ltot_k2_wo_cyst_percent_high,Left total k2 wo cyst high
ltot_k2_wo_cyst_percent_low,Left total k2 wo cyst low
lv_a_vel,LV diastolic function - A velocity
lv_cardiac_index,LV Cardiac Index
lv_cardiac_output,LV Cardiac Output
lv_e_vel,LV diastolic function - E velocity
lv_ea_vel,LV diastolic function - E/A velocity
lv_gcsr,LV strain rate - GCSR
lv_glsr,LV strain rate - GLSR
lv_grsr,LV strain rate - GRSR
lv_hr,LV HR
lv_myo_thickness_dias,LV Global myocardial thickness at diastole (mm)
lv_myo_thickness_total,"LV Global myocardial thickness assessed across the entire cardiac cycle, with values comparable to those measured at systole (mm)"
lv_stroke_volume,LV Stroke Volume
lved_mass,LVEDMass
lved_massi,LVEDMassi
lvedv,LVEDV
lvedvi,LVEDVi
lvef,LV Ejection Fraction
lves_mass,LVESMass
lvesv,LVESV
lvesvi,LVESVI
lymphocyte,Lymphocyte %:
lysine,Lysine
m_i,M/I
m_i_gir_190,M/I (GIR 190)
m_i_p2_raw_lean,"M/I Period 2 (raw, lean)"
malate,Malate
malic_acid_tissue,Malic acid
map,Mean Arterial Pressure (MAP) (mmHg)
mch,MCH: (pg)
mcv,MCV: (fl)
med_hx_hypertension,Does patient have a history of hypertension
medhx_cvd,Does patient have a history of cardiovascular disease
mes_index,Mesangial Index (%)
mes_matrix_area,Mesangial Matrix Area (um^2)
mes_nuc_count,Mesangial Nuclear Count
mes_volume_con,Mesangial Volume - Consensus (10^6 um^3)
mes_volume_weibel,Mesangial Volume - Weibel (10^6 um^3)
mes_volume_wiggins,Mesangial Volume - Wiggins (10^6 um^3)
mesangium_sev,Mesangium Severity
met_meds_yes,What medications is patient taking
metabolomics_yn,Metabolomics -- Labs complete
metformin_timepoint,Metformin at visit
methionine,Methionine
mg18_0_tissue,MG (18:0)
mg18_1_tissue,MG (18:1)
microalbumin_u,Urine Microalbumin (mcg/mL)
min_carb_oxidation_bw_new,60 min Carbohydrate Oxidation/BW (new)
min_carb_oxidation_new,60 min Carbohydrate Oxidation (new)
min_fat_oxidation_bw_new,Fat Oxidation/BW (new)
min_fat_oxidation_new,Fat Oxidation (new)
mlcl_44_2_2h,MLCL(44:2)-2H
mlcl_46_2_2h,MLCL(46:2)-2H
mlcl_48_2_2h,MLCL(48:2)-2H
mlcl_48_4_2h,MLCL(48:4)-2H
mlcl_50_6_2h,MLCL(50:6)-2H
mlcl_52_2_2h,MLCL(52:2)-2H
mlcl_52_4_2h,MLCL(52:4)-2H
mlcl_52_4_2h_1,MLCL(52:4)-2H
mlcl_52_6_2h,MLCL(52:6)-2H
mlcl_56_8_2h,MLCL(56:8)-2H
mlcl_56_8_2h_1,MLCL(56:8)-2H
mlcl_56_10_2h,MLCL(56:10)-2H
mlcl_60_14_2h,MLCL(60:14)-2H
mm_airg,AIRg
mm_bcell,Beta cell function
mm_di,DI
mm_gb,GB [mg/dl]
mm_ib,IB [mu/I]
mm_ir,Insulin resistance
mm_r2,R-squared
mm_sg,Sg [min^-1]
mm_si,Insulin sensitivity ((mu/I)^-1.min^-1)
monocyte,Monocyte %:
morning_insulin,Short acting insulin given (before admission)
morning_u,Morning Urine
morning_urine1,Morning Urine 1
morning_urine2,Morning Urine 2
mra,MRA
mra_med,"Is patient taking any mineralocorticoid receptor antagonists (MRAs) (sprionolactone, finerenone, eplerenone)"
mri_date,Date of MRI
mri_visit_date,MRI Visit Date
mv_flow_a,A wave
mv_flow_e,E wave
mv_flow_ea,E/A ratio
mval,M-value (mg/kg/min)
myocardial_infarction,Myocardial Infarction
N-EtFOSAA,N-EtFOSAA
N-MeFOSAA,N-MeFOSAA
n_acetyl_glucosamine_1_phosphate_h_tissue,N-Acetyl-glucosamine 1-phosphate -H
na_s,Serum Na
na_u,Urine Na
ncyn,NeuroCognitive data collected
neutrophil,Neutrophil %:
nfl_avg_conc,NFL Average Concentration (pg/mL)
niacin,Niacin
nonhdl_base,Non-HDL Cholesterol (baseline)
ns1_bg,Blood Glucose After NS Bolus #1
ns1_time,Time of NS Bolus #1
ns1_vol,Volume of NS Bolus #1
ns_bolus,NS Bolus(es) given
ns_number,# of NS Bolus(es) given
num_cores,Number of Cores
number,Number
o2_sat,O2 Sat (pre-MRI)
o2_sats,O2 Sat (pre-MRI)
oahfa_34_2_h,OAHFA(34:2)-H
oahfa_36_1_h,OAHFA(36:1)-H
oahfa_36_3_h,OAHFA(36:3)-H
oahfa_38_2_h,OAHFA(38:2)-H
oahfa_38_4_h,OAHFA(38:4)-H
oct_pass,OCT Core obtained in Pass #
oct_time,Time: Core fixed in Cryomold (Blue) placed on dry ice
oleic_acid_tissue,Oleic acid
other_diabetes_med_timepoint,Other diabetes meds at visit
oxaloacetic_acid_tissue,Oxaloacetic acid
p1_ffa_suppression,Phase 1: FFA suppression
p1_gc_leanm,Phase 1: GC Lean M-Value (mg/kg lean/min)
p1_gc_m,Phase 1: GC M-Value (mg/kg/min)
p1_raw_leanm,Phase 1: Raw Lean M-Value (mg/kg lean/min)
p1_raw_m,Phase 1: Raw M-Value (mg/kg/min)
p1_steady_state_ffa,Phase 1: Steady state FFA
p1_steady_state_insulin,Period 1 Steady-State Insulin
p2_ffa_suppression,Phase 2: FFA suppression
p2_gc_leanm,Phase 2: GC Lean M-value (mg/kg lean/min)
p2_gc_m,Phase 2: GC M-Value (mg/kg/min)
p2_raw_leanm,Phase 2: Raw Lean M-Value (mg/kg lean/min)
p2_raw_m,Phase 2: Raw M-value (mg/kg/min)
p2_steady_state_ffa,Phase 2: Steady state FFA
p2_steady_state_insulin,Period 2 Steady-State Insulin
pa_22_5_16_0,PA(22:5_16:0)
pa_29_4_20_3,PA(29:4_20:3)
pa_29_5_18_2,PA(29:5_18:2)
pa_o_18_2_18_2,PA(O-18:2_18:2)
pa_o_18_2_20_4,PA(O-18:2_20:4)
pa_o_18_2_22_6,PA(O-18:2_22:6)
pa_o_19_2_20_4,PA(O-19:2_20:4)
pa_o_20_2_18_1,PA(O-20:2_18:1)
pa_o_20_2_18_2,PA(O-20:2_18:2)
pa_o_20_2_20_4,PA(O-20:2_20:4)
pa_o_20_2_22_4,PA(O-20:2_22:4)
pa_o_20_2_22_5,PA(O-20:2_22:5)
pa_o_20_3_16_0,PA(O-20:3_16:0)
pa_o_20_3_18_2,PA(O-20:3_18:2)
pac1_adp_1_25_10_min,Pac1 ADP 1.25 10 min
pac1_baseline,Pac1 Baseline
pac1_conv_50_3_min,Pac1 Conv 50 3 min
pac1_th_0_075_2_min,Pac1 TH 0.075 2 min
pac1_th_0_075_5_min,Pac1 TH 0.075 5 min
pah_90,PAH (90 min)
pah_120,PAH (120 min)
pah_150,PAH (T= +150) (blood concentration)
pah_bol_com,PAH bolus completion time
pah_bolus,PAH Bolus Given
pah_bsa,BSA Normalized PAH clearance (ml/min/1.73m2)
pah_bsa_plasma_urine,BSA Normalized PAH Clearance (Plasma and Urine) (ml/min/1.73m2)
pah_clear_abs,Absolute PAH Clearance (Plasma) (mL/min)
pah_clear_bsa,BSA Normalized PAH Clearance (Plasma) (ml/min/1.73m2)
pah_cv,PAH -- cv
pah_infusion_vol,PAH Infusion Volume
pah_p1,PAH -- Period 1
pah_p2,PAH -- Period 2
pah_raw,Mean Raw PAH (ml/min)
pah_sd,PAH -- sd
pah_time,PAH Bolus Time
pah_urine_120,PAH (T= +120) (urine concentration)
